Manufacturer,Adtech,
Model,8x8,
Type,SubduralGrid,
Subtype,MiniContact,
Name,8x8 Mini,
ElectrodeDiameter,1.7,
ElectrodeDiameterUnits,mm,
ElectrodeSpacingRows,3,
ElectrodeSpacingRowsUnits,mm,
ElectrodeSpacingColumns,3,
ElectrodeSpacingColumnsUnits,mm,
,,,
GridElectrode,GridRow,GridColumn,GridBank
1,0,0,0
2,0,1,0
3,0,2,0
4,0,3,0
5,0,4,0
6,0,5,0
7,0,6,0
8,0,7,0
9,1,0,0
10,1,1,0
11,1,2,0
12,1,3,0
13,1,4,0
14,1,5,0
15,1,6,0
16,1,7,0
17,2,0,1
18,2,1,1
19,2,2,1
20,2,3,1
21,2,4,1
22,2,5,1
23,2,6,1
24,2,7,1
25,3,0,1
26,3,1,1
27,3,2,1
28,3,3,1
29,3,4,1
30,3,5,1
31,3,6,1
32,3,7,1
33,4,0,2
34,4,1,2
35,4,2,2
36,4,3,2
37,4,4,2
38,4,5,2
39,4,6,2
40,4,7,2
41,5,0,2
42,5,1,2
43,5,2,2
44,5,3,2
45,5,4,2
46,5,5,2
47,5,6,2
48,5,7,2
49,6,0,3
50,6,1,3
51,6,2,3
52,6,3,3
53,6,4,3
54,6,5,3
55,6,6,3
56,6,7,3
57,7,0,3
58,7,1,3
59,7,2,3
60,7,3,3
61,7,4,3
62,7,5,3
63,7,6,3
64,7,7,3
