Manufacturer,Blackrock,
Model,NeuroPort,
Type,Array,
Subtype,Intracortical,
Name,Utah Array,
ElectrodeSpacingRows,0.4,
ElectrodeSpacingRowsUnits,mm,
ElectrodeSpacingColumns,0.4,
ElectrodeSpacingColumnsUnits,mm,
,,,
GridElectrode,GridRow,GridColumn,GridBank
1,8,0,2
2,7,0,2
3,6,0,2
4,5,0,2
5,4,0,2
6,3,0,2
7,2,0,2
8,1,0,2
9,9,1,0
10,8,1,2
11,7,1,2
12,6,1,2
13,5,1,2
14,4,1,2
15,3,1,2
16,2,1,2
17,1,1,2
18,0,1,2
19,9,2,0
20,8,2,1
21,7,2,1
22,6,2,1
23,5,2,1
24,4,2,1
25,3,2,1
26,2,2,2
27,1,2,2
28,0,2,2
29,9,3,0
30,8,3,1
31,7,3,1
32,6,3,1
33,5,3,1
34,4,3,1
35,3,3,1
36,2,3,1
37,1,3,2
38,0,3,2
39,9,4,0
40,8,4,0
41,7,4,0
42,6,4,1
43,5,4,1
44,4,4,1
45,3,4,1
46,2,4,1
47,1,4,2
48,0,4,2
49,9,5,0
50,8,5,0
51,7,5,0
52,6,5,0
53,5,5,1
54,4,5,1
55,3,5,1
56,2,5,1
57,1,5,2
58,0,5,2
59,9,6,0
60,8,6,0
61,7,6,0
62,6,6,0
63,5,6,1
64,4,6,1
65,3,6,1
66,2,6,1
67,1,6,2
68,0,6,2
69,9,7,0
70,8,7,0
71,7,7,0
72,6,7,0
73,5,7,0
74,4,7,1
75,3,7,1
76,2,7,1
77,1,7,2
78,0,7,2
79,9,8,0
80,8,8,0
81,7,8,0
82,6,8,0
83,5,8,0
84,4,8,0
85,3,8,1
86,2,8,1
87,1,8,1
88,0,8,2
89,8,9,0
90,7,9,0
91,6,9,0
92,5,9,0
93,4,9,0
94,3,9,0
95,2,9,0
96,1,9,2
